month,silhouette_key,articles
2010-12,crocband,1
2017-10,balenciaga_collab,2
2018-02,balenciaga_collab,1
2018-07,balenciaga_collab,1
2018-08,crocband,2
2018-11,classic_clog,1
2018-11,post_malone_collab,1
2019-05,crocband,1
2020-06,tulum_sandal,1
2020-08,heydude_other,1
2020-09,bad_bunny_collab,1
2020-09,classic_clog,1
2020-12,post_malone_collab,4
2021-02,post_malone_collab,1
2021-06,balenciaga_collab,2
2021-07,tulum_sandal,1
2021-10,balenciaga_collab,1
2021-10,classic_boot,1
2021-11,balenciaga_collab,2
2021-11,pollex_clog,1
2021-11,pollex_pod,2
2021-12,pollex_clog,1
2021-12,pollex_pod,1
2022-04,balenciaga_collab,1
2022-05,pollex_clog,4
2022-05,pollex_pod,4
2022-06,classic_clog,1
2022-07,steven_smith_line,1
2022-08,classic_cozzzy,1
2022-08,echo_clog,1
2022-08,pollex_pod,1
2022-09,classic_clog,1
2022-09,mellow_slide,4
2022-10,balenciaga_collab,1
2022-10,classic_clog,1
2022-10,mega_crush_clog,3
2022-10,pollex_clog,1
2022-10,pollex_pod,1
2022-11,echo_clog,1
2022-11,mega_crush_clog,1
2022-11,pollex_pod,1
2023-01,classic_clog,1
2023-01,echo_clog,1
2023-01,mega_crush_clog,2
2023-02,pollex_clog,1
2023-02,pollex_pod,1
2023-03,mega_crush_clog,3
2023-03,mega_crush_sandal,2
2023-04,pollex_clog,2
2023-04,pollex_pod,11
2023-05,pollex_pod,1
2023-06,dylan,1
2023-06,heydude_wally,1
2023-06,mschf_collab,1
2023-06,pollex_clog,5
2023-06,pollex_pod,5
2023-06,skyline,1
2023-07,classic_boot,8
2023-07,mega_crush_clog,4
2023-07,mellow_slide,4
2023-07,pollex_clog,2
2023-07,pollex_pod,5
2023-07,siren_slide,1
2023-07,skyline,1
2023-08,classic_boot,1
2023-08,mellow_slide,5
2023-08,pollex_clog,3
2023-08,pollex_pod,3
2023-09,echo_clog,3
2023-09,echo_storm,3
2023-09,pollex_pod,2
2023-10,classic_boot,1
2023-10,stomp_clog,1
2023-11,echo_storm,1
2023-11,mega_crush_clog,1
2023-11,pollex_clog,1
2023-11,pollex_pod,3
2023-12,classic_cozzzy,1
2023-12,mega_crush_clog,3
2023-12,mschf_collab,1
2024-01,echo_clog,1
2024-01,pollex_pod,2
2024-02,dylan,1
2024-02,echo_clog,2
2024-02,echo_storm,3
2024-02,pollex_clog,1
2024-02,pollex_pod,3
2024-03,balenciaga_collab,1
2024-03,echo_clog,1
2024-03,echo_storm,1
2024-04,classic_cozzzy,1
2024-04,echo_clog,1
2024-04,mega_crush_clog,1
2024-04,pollex_pod,2
2024-04,siren_slide,1
2024-05,classic_cozzzy,1
2024-05,pollex_pod,2
2024-06,dylan,2
2024-06,echo_clog,1
2024-06,echo_storm,1
2024-07,classic_clog,1
2024-07,classic_cozzzy,1
2024-07,echo_clog,1
2024-07,pollex_pod,1
2024-08,heydude_wally,1
2024-08,heydude_wendy,1
2024-08,pollex_clog,4
2024-08,pollex_pod,4
2024-09,bayaband,4
2024-09,crocband,1
2024-09,echo_clog,1
2024-09,mellow_slide,5
2024-09,stomp_clog,10
2024-10,classic_clog,1
2024-10,classic_cozzzy,1
2024-10,pollex_clog,2
2024-10,pollex_pod,2
2024-10,stomp_clog,3
2024-11,classic_cozzzy,1
2024-11,mega_crush_clog,1
2024-11,mega_crush_sandal,1
2024-11,steven_smith_line,9
2024-12,echo_clog,3
2024-12,echo_wave,3
2024-12,mellow_slide,1
2025-01,classic_clog,1
2025-01,echo_clog,1
2025-02,balenciaga_collab,1
2025-02,classic_clog,1
2025-02,classic_cozzzy,5
2025-02,echo_clog,1
2025-02,heydude_wally,1
2025-02,siren_slide,1
2025-02,stomp_clog,1
2025-03,brooklyn_sandal,1
2025-03,classic_clog,1
2025-03,heydude_wally,4
2025-03,heydude_wendy,3
2025-04,classic_clog,1
2025-04,echo_wave,1
2025-04,heydude_wally,1
2025-04,mega_crush_clog,2
2025-04,mega_crush_sandal,1
2025-04,pollex_clog,6
2025-04,pollex_pod,6
2025-05,classic_clog,5
2025-05,echo_clog,8
2025-05,echo_wave,11
2025-05,heydude_wally,2
2025-05,pollex_clog,5
2025-05,pollex_pod,7
2025-05,stomp_clog,1
2025-06,classic_clog,5
2025-06,echo_clog,1
2025-06,echo_wave,1
2025-06,mega_crush_clog,1
2025-06,mega_crush_sandal,1
2025-06,pollex_clog,2
2025-06,pollex_pod,3
2025-07,bayaband,1
2025-07,brooklyn_sandal,1
2025-07,classic_clog,15
2025-07,echo_wave,1
2025-07,heydude_wendy,2
2025-07,pollex_pod,3
2025-08,classic_clog,17
2025-08,echo_clog,1
2025-08,pollex_pod,2
2025-09,bayaband,1
2025-09,classic_clog,11
2025-09,heydude_wally,1
2025-09,pollex_pod,1
2025-09,steven_smith_line,6
2025-10,classic_clog,8
2025-10,heydude_wendy,1
2025-10,steven_smith_line,2
2025-11,classic_clog,11
2025-11,classic_cozzzy,2
2025-11,heydude_wally,1
2025-11,pollex_clog,5
2025-11,pollex_pod,5
2025-11,steven_smith_line,1
2025-12,classic_clog,5
2025-12,heydude_wally,1
2025-12,steven_smith_line,3
2026-01,classic_clog,7
2026-01,classic_cozzzy,1
2026-01,steven_smith_line,2
2026-02,classic_clog,4
2026-02,echo_clog,2
2026-02,echo_wave,2
2026-02,steven_smith_line,7
2026-03,classic_clog,4
2026-03,crocband,1
2026-03,echo_clog,1
2026-03,heydude_wally,5
2026-03,heydude_wendy,6
2026-03,steven_smith_line,2
2026-04,classic_clog,2
2026-04,heydude_wally,2
2026-04,heydude_wendy,1
2026-04,steven_smith_line,2
